application,load,type,compressor,iteration,time,repetition
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.575983524322509,3
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.649479389190673,4
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.679998397827148,5
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.518750667572021,6
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.366974830627441,7
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.398321866989135,8
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.335382223129272,9
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.357544183731079,10
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.330553770065307,11
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.416573762893676,12
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.774695396423339,13
YATSERVER,BINCSVH1,INFINITE,entropy,3,4.860510587692261,14
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.52016019821167,15
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.738969802856445,16
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.766818761825561,17
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.753714799880981,18
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.33034873008728,19
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.291385412216186,20
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.389660596847534,21
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.332265853881836,22
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.313657522201538,23
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.312430620193481,24
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.385352611541748,25
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.358876705169677,26
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.323640584945678,27
YATSERVER,BINCSVH1,INFINITE,entropy,3,2.693335056304931,28
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.3108570575714111,29
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.305546045303344,0
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.277022123336792,1
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.286073207855224,2
YATSERVER,BINCSVH1,INFINITE,ppmd,2,4.511716842651367,3
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.301180839538574,4
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.307752609252929,5
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.31502366065979,6
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.298316240310669,7
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.388885259628296,8
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.563127756118774,9
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.607007265090942,10
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.580381155014038,11
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.271642923355102,12
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.344911813735962,13
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.27626347541809,14
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.285298109054565,15
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.266763687133789,16
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.276054620742797,17
YATSERVER,BINCSVH1,INFINITE,ppmd,2,3.106585264205932,18
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.311769485473632,19
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.414998292922973,20
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.263830661773681,21
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.289348125457763,22
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.33681321144104,23
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.294817209243774,24
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.345913171768188,25
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.274592638015747,26
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.265832662582397,27
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.276086330413818,28
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.296936988830566,29
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.527071237564086,0
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.5467681884765621,1
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.591278076171875,2
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.513560771942138,3
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.514428853988647,4
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.499826192855834,5
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.48819589614868103,6
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.486847639083862,7
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.48497772216796803,8
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.49134135246276806,9
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.479278326034545,10
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.47674179077148404,11
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.48023271560668906,12
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.48423933982849104,13
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.6155316829681391,14
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.5472471714019771,15
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.504071474075317,16
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.518179655075073,17
