application,load,type,compressor,iteration,mean_time
YATSERVER,BINCSVM2,ALTCONTROL,ppmd,-1,21.23953362305959
YATSERVER,BINCSVM2,ALTCONTROL,zlib,-1,6.523328145345052
YATSERVER,BINCSVM2,BCLEAN,entropy,2,1.1776763598124185
YATSERVER,BINCSVM2,BCLEAN,heif,7,117.02285582224528
YATSERVER,BINCSVM2,BCLEAN,ppmd,2,1.6345632791519162
YATSERVER,BINCSVM2,BCLEAN,zlib,2,0.5212610801060991
YATSERVER,BINCSVM2,INFINITE,entropy,2,1.2448101917902625
YATSERVER,BINCSVM2,INFINITE,heif,13,233.22689247926075
YATSERVER,BINCSVM2,INFINITE,ppmd,4,2.5003723462422687
YATSERVER,BINCSVM2,INFINITE,zlib,4,0.7974146445592242
YATSERVER,BINCSVM2,MONO,entropy,2,1.2553639332453408
YATSERVER,BINCSVM2,MONO,heif,8,134.21494650046031
YATSERVER,BINCSVM2,MONO,ppmd,3,1.9867268641789753
YATSERVER,BINCSVM2,MONO,zlib,3,0.657756129900614
YATSERVER,BINCSVM2,NOBREAK,entropy,14,6.1959049542744955
YATSERVER,BINCSVM2,NOBREAK,heif,5,85.99946303367615
YATSERVER,BINCSVM2,NOBREAK,ppmd,18,11.340598193804423
YATSERVER,BINCSVM2,NOBREAK,zlib,10,1.7964535872141516
YATSERVER,BINCSVM2,SLEEP,entropy,4,1.838727784156799
YATSERVER,BINCSVM2,SLEEP,heif,5,85.41113398869832
YATSERVER,BINCSVM2,SLEEP,ppmd,2,1.6291444937388098
YATSERVER,BINCSVM2,SLEEP,zlib,4,0.811410562197367
YATSERVER,BINCSVM2,SWAP,entropy,17,8.223798894882203
YATSERVER,BINCSVM2,SWAP,heif,15,277.7647975683212
YATSERVER,BINCSVM2,SWAP,ppmd,5,3.1115046103795367
YATSERVER,BINCSVM2,SWAP,zlib,15,2.8394906441370646
YATSERVER,BINCSVM2,UNLOCK,entropy,21,10.656325205167134
YATSERVER,BINCSVM2,UNLOCK,heif,6,100.44104353586833
YATSERVER,BINCSVM2,UNLOCK,ppmd,2,1.458432070414225
YATSERVER,BINCSVM2,UNLOCK,zlib,9,1.6197919527689613
YATSERVER,BINCSVM3,ALTCONTROL,entropy,2,1.059986074765523
YATSERVER,BINCSVM3,ALTCONTROL,heif,3,54.34303770065308
YATSERVER,BINCSVM3,ALTCONTROL,ppmd,-1,20.13231348991394
YATSERVER,BINCSVM3,ALTCONTROL,zlib,-1,6.22990566889445
YATSERVER,BINCSVM3,BCLEAN,entropy,2,1.2102741718292231
YATSERVER,BINCSVM3,BCLEAN,heif,8,134.834228738149
YATSERVER,BINCSVM3,BCLEAN,ppmd,2,1.4582252343495685
YATSERVER,BINCSVM3,BCLEAN,zlib,3,0.6209191322326656
YATSERVER,BINCSVM3,INFINITE,entropy,2,1.2017527262369787
YATSERVER,BINCSVM3,INFINITE,heif,8,132.6938083410263
YATSERVER,BINCSVM3,INFINITE,ppmd,3,1.8227321465810136
YATSERVER,BINCSVM3,INFINITE,zlib,1,0.3595054705937699
YATSERVER,BINCSVM3,MONO,entropy,2,1.4234721024831132
YATSERVER,BINCSVM3,MONO,heif,8,134.8755043665568
YATSERVER,BINCSVM3,MONO,ppmd,2,1.410059483846028
YATSERVER,BINCSVM3,MONO,zlib,2,0.4880409081776932
YATSERVER,BINCSVM3,NOBREAK,entropy,15,6.930490334828694
YATSERVER,BINCSVM3,NOBREAK,heif,7,123.87319826285044
YATSERVER,BINCSVM3,NOBREAK,ppmd,15,8.73274446328481
YATSERVER,BINCSVM3,NOBREAK,zlib,26,5.63940950234731
YATSERVER,BINCSVM3,SLEEP,entropy,10,4.292982029914856
YATSERVER,BINCSVM3,SLEEP,heif,11,190.53189136187237
YATSERVER,BINCSVM3,SLEEP,ppmd,4,2.4639651377995806
YATSERVER,BINCSVM3,SLEEP,zlib,2,0.4948273897171017
YATSERVER,BINCSVM3,SWAP,entropy,16,7.633320275942484
YATSERVER,BINCSVM3,SWAP,heif,5,85.05435942014059
YATSERVER,BINCSVM3,SWAP,ppmd,20,13.029814910888671
YATSERVER,BINCSVM3,SWAP,zlib,17,3.172185325622558
YATSERVER,BINCSVM3,UNLOCK,entropy,21,10.61909895737966
YATSERVER,BINCSVM3,UNLOCK,heif,11,188.4194777727127
YATSERVER,BINCSVM3,UNLOCK,ppmd,4,2.155246829986572
YATSERVER,BINCSVM3,UNLOCK,zlib,3,0.6218083858489987
