compressor,mean_0-10 repetições,mean_0-30 repetições,std_0-10 repetições,std_0-30 repetições,std_diff_%,mean_diff_%,application,load,type
entropy,4.892730236053467,4.701582956314087,1.2440771426461965,1.019266579830094,22.05611046852701,4.065594109802421,YATSERVER,BINCSVH3,SLEEP
heif,102.6560518503189,103.35800250371297,1.8108724336543536,3.092821320061689,-41.44917386891803,-0.6791449490027129,YATSERVER,BINCSVH3,SLEEP
ppmd,2.3871497869491574,2.3871985356012977,0.037959205140219256,0.030746890174767585,23.4570550857545,-0.002042086211654368,YATSERVER,BINCSVH3,SLEEP
zlib,2.6541429281234743,2.6351116339365643,0.03659267213723978,0.036350414045998834,0.6664520820433774,0.722219656344476,YATSERVER,BINCSVH3,SLEEP
entropy,17.372163510322572,17.772145946820576,1.9334786707184228,1.6363755995782823,18.156166054829242,-2.2506141784726914,YATSERVER,BINCSVH3,SWAP
heif,191.76045660972596,191.7286805152893,3.7652973098159213,3.385599617316886,11.215079614167388,0.016573469525399058,YATSERVER,BINCSVH3,SWAP
ppmd,4.7224565029144285,4.742405581474304,0.027477936011860958,0.04844739962066054,-43.28294970006417,-0.42065315201644526,YATSERVER,BINCSVH3,SWAP
zlib,2.399828195571899,2.4126821358998614,0.019209341056022615,0.02585189313059191,-25.69464464754735,-0.5327655946342984,YATSERVER,BINCSVH3,SWAP
entropy,2.086752319335937,2.179187353452046,0.5695348155198563,0.693209797951177,-17.84091667441076,-4.241720381209213,YATSERVER,BINCSVH3,UNLOCK
heif,112.3232744693756,107.15087071259816,12.656400752563293,9.056948622609628,39.74243732561371,4.827215796174862,YATSERVER,BINCSVH3,UNLOCK
ppmd,1.2301658868789669,1.2407037417093911,0.010461880976856847,0.03118004893858002,-66.44687441810893,-0.8493449706136629,YATSERVER,BINCSVH3,UNLOCK
zlib,0.6499902486801142,0.6502755482991531,0.009603705540036226,0.009807285234765019,-2.0758006915832317,-0.043873650144944855,YATSERVER,BINCSVH3,UNLOCK
